"id","star_id","star_name","vismag","absmag","distance","ra","dec","spec","ci","constellation","lum","rownbr"
2003,116218,"",3.81,1.701,nan,23.626056,46.458152,"G8III-IV",0.984,"And",18.18025623774263,1
937,53347,"",4.6,0.773,nan,10.945289,-37.137765,"K0III",1.006,"Ant",42.73660314969305,1
1405,80819,"",3.86,0.458,nan,16.557609,-78.897148,"K0IV SB",0.923,"Aps",57.12155216230428,1
1699,97365,"",5.12,3.705,nan,19.850456,10.415727,"F8V",0.563,"Aql",2.8707805820246897,1
1973,114013,"",4.71,-1.235,nan,23.165249,-22.457611,"A3IV:",0.674,"Aqr",271.6439268839081,1
1468,85053,"",5.19,-0.535,nan,17.433344,-50.63351,"K1III",1.055,"Ara",142.56075936021878,1
136,9814,"",5.03,1.302,nan,2.109423,22.648317,"A2m",0.121,"Ari",26.254273189937003,1
542,32088,"",5.04,0.057,nan,6.718051,44.52445,"K5III",1.479,"Aur",82.64184417157952,1
1154,67267,"",4.92,-0.53,nan,13.828564,21.264105,"K4III",1.432,"Boo",141.90575216890926,1
566,33258,"",5,-2.908,nan,6.935179,-14.04343,"B9.5V",1.182,"CMa",1268.235775555588,1
617,35941,"",4.99,-2.532,nan,7.427471,9.276097,"G8III",0.991,"CMi",897.0156084148144,1
1061,61124,"",4.24,4.608,nan,12.562411,41.35748,"G0V",0.588,"CVn",1.2496833972112191,1
324,21008,"",5.07,-1.602,nan,4.513916,-44.953749,"B2IV-V",-0.194,"Cae",380.89037649813514,1
224,15851,"",5.13,-3.863,nan,3.411267,64.585996,"M0II",2.038,"Cam",3056.3282803659663,1
1753,100701,"",4.77,2.365,nan,20.481004,-17.813687,"F3V",0.386,"Cap",9.8627948563121,1
710,40314,"",5.16,0.713,nan,8.254427,-62.915643,"A+...",0.086,"Car",45.16479049291119,1
84,6228,"",4.95,-15.05,nan,1.334699,58.231611,"F0Ia",0.683,"Cas",91201083.93559097,1
1166,68064,"",3.87,-1.717,nan,13.977987,-44.803584,"B2IV-V",-0.208,"Cen",423.44791616920764,1
1877,108671,"",5.07,-3.937,nan,22.085775,62.279814,"O9.5Ib",0.24,"Cep",3271.899836231789,1
47,3413,"Diphda",2.04,-0.312,nan,0.72649,-17.986605,"K0III",1.019,"Cet",116.09138701261821,1
716,40773,"",4.34,0.951,nan,8.344115,-77.484477,"K0III-IV",1.161,"Cha",36.27438014764577,1
1285,75094,"",4.48,-1.212,nan,15.389625,-59.320787,"B5III + F8",0.169,"Cir",265.9500032721518,1
692,39456,"",5.14,1.049,nan,8.08458,13.118215,"A1V",0.018,"Cnc",33.143624500925895,1
464,27559,"",3.12,0.985,nan,5.849329,-35.768309,"K1.5III",1.146,"Col",35.15604405282981,1
1045,60166,"",4.78,0.001,nan,12.375087,25.84616,"F8:p...",0.515,"Com",87.01617721519975,1
1560,89759,"",5.09,-0.77,nan,18.371828,-38.656894,"K4/K5III",1.498,"CrA",177.010895831742,1
1284,75083,"",4.99,3.73,nan,15.38675,30.287812,"G2V",0.577,"CrB",2.805433637951713,1
973,55539,"",4.06,2.05,nan,11.414702,-17.68401,"A9V",0.216,"Crt",13.182567385564068,1
1091,62805,"",5.08,-0.402,nan,12.910251,-57.16867,"B5Vne",-0.089,"Cru",126.12465753175385,1
1042,60036,"",5.14,1.189,nan,12.348809,-13.565724,"K0III",1.048,"Crv",29.133992225701643,1
1811,103725,"",3.72,-3.341,nan,21.082184,43.927852,"K5Ibv SB",1.609,"Cyg",1889.7310544316758,1
1787,102200,"",5.15,2.254,nan,20.777462,16.124134,"A2Ia+...",0.495,"Del",10.924460532267922,1
498,29061,"",5.06,0.243,nan,6.145643,-68.843409,"B8V",-0.072,"Dor",69.63057796029312,1
1639,94081,"",3.07,0.694,nan,19.209225,67.661541,"G9III",0.99,"Dra",45.96211446660011,1
1823,104649,"",3.92,0.09,nan,21.263731,5.247845,"G0III+...",0.549,"Equ",80.16780633876789,1
347,22426,"",5.03,0.734,nan,4.83656,-16.217159,"K0III",0.992,"Eri",44.299619910036355,1
135,9655,"",4.68,-0.6,nan,2.074844,-29.296819,"B9.5p (Si)",-0.156,"For",151.3561248436207,1
560,32932,"",3.6,-0.216,nan,6.879816,33.961254,"A3III",0.102,"Gem",106.26738654024653,1
1957,113278,"",4.11,1.493,nan,23.014677,-52.754137,"G8III",0.96,"Gru",22.019122114844777,1
1545,88895,"",4.96,-1.153,nan,18.198377,31.40535,"M3III",1.643,"Her",251.88366278417402,1
289,19465,"",4.93,1.235,nan,4.180708,-41.993573,"A9V",0.334,"Hor",27.925438412373378,1
815,46259,"Alphard",1.99,-1.723,nan,9.45979,-8.658603,"K3III",1.44,"Hya",425.7944535825967,1
127,9217,"",2.86,1.147,nan,1.979451,-61.569859,"F0V",0.29,"Hyi",30.283076942657782,1
1798,102619,"",5.06,-0.718,nan,20.858347,-51.608179,"K1II/III",1.125,"Ind",168.73298906258032,1
867,49451,"",4.49,2.236,nan,10.123821,35.244693,"A7V",0.19,"LMi",11.107082559188644,1
1929,111489,"",4.89,-3.728,nan,22.654355,39.050269,"O9V",-0.207,"Lac",2698.9820734720156,1
976,55779,"",4.95,-1.233,nan,11.465622,2.856265,"G8II-III",1,"Leo",271.1440008688312,1
365,23307,"",4.91,0.995,nan,5.023772,-20.051918,"B9V",-0.047,"Lep",34.833731503601165,1
1345,77971,"",4.95,-0.834,nan,15.969825,-14.279358,"B8Ia/Iab",-0.08,"Lib",187.75866989193483,1
1222,71634,"",2.3,-3.468,nan,14.698823,-47.3882,"B1.5III",-0.154,"Lup",2124.222477388697,1
784,44572,"",4.56,-2.435,nan,9.108825,38.452215,"G8Ib-II",1.037,"Lyn",820.3515443298185,1
1586,91684,"",4.34,0.94,nan,18.746209,37.605115,"Am",0.192,"Lyr",36.643757464783334,1
499,29198,"",5.08,5.037,nan,6.170632,-74.753045,"G5V",0.714,"Men",0.8417827076608124,1
1793,102362,"",5.11,2.364,nan,20.808084,-43.988544,"F1IV",0.361,"Mic",9.87188301068396,1
523,30644,"",5.19,-1.888,nan,6.453823,0.299246,"K1II",1.186,"Mon",495.67840659411786,1
1114,64456,"",4.79,-0.558,nan,13.25416,-67.894589,"B8V",-0.078,"Mus",145.61294986160564,1
1370,79270,"",4.95,-0.64,nan,16.224648,-54.630467,"G4III",1.017,"Nor",157.03628043335516,1
1850,106746,"",3.73,2.098,nan,21.691253,-77.390046,"K0III",1.008,"Oct",12.612465753175385,1
1403,80729,"",4.45,0.882,nan,16.535611,-21.46639,"Ap",0.13,"Oph",38.65449465982838,1
434,26142,"",3.39,-4.246,nan,5.585633,9.934158,"O...",-0.16,"Ori",4349.106072324538,1
1777,101826,"",5.14,-1.77,nan,20.699186,-66.760682,"B8Vvar",-0.061,"Pav",444.63126746910837,1
1878,108722,"",4.86,0.258,nan,22.094653,5.05853,"K4III",1.443,"Peg",68.67521061488183,1
185,13497,"",3.93,-0.529,nan,2.904295,52.762479,"G4III...",0.758,"Per",141.77511231219995,1
116,8818,"",4.39,-0.712,nan,1.894102,-46.302669,"M4III SB",1.597,"Phe",167.8031078290955,1
374,23594,"",5.05,-0.619,nan,5.082776,-49.577837,"M2IIIvar",1.484,"Pic",154.02811480716133,1
1866,107265,"",5.02,0.054,nan,21.795598,-30.898304,"A1V",0.042,"PsA",82.87050779069826,1
2030,117900,"",4.03,1.505,nan,23.988525,6.863321,"F4IV",0.419,"Psc",21.77709772353159,1
588,34578,"",5.12,0.188,nan,7.179858,-48.932098,"K2III",1.251,"Pup",73.248713266504,1
762,43229,"",5.19,1.007,nan,8.830972,-32.780525,"G8III",0.876,"Pyx",34.450854628657915,1
248,17398,"",3.84,1.465,nan,3.736593,-64.806903,"K0IV SB",1.133,"Ret",22.59435770220978,1
1999,115865,"",4.38,0.744,nan,23.549512,-37.818268,"B9.5IVMNpe.",-0.095,"Scl",43.89347855347172,1
1441,83317,"",4.83,-15.17,nan,17.080376,-34.12293,"B2Iab",0.257,"Sco",101859138.8054119,1
1614,92733,"",4.83,0.867,nan,18.951019,-5.846314,"K1III",1.057,"Sct",39.192232245497664,1
1328,77424,"",5.09,1.606,nan,15.854331,-3.090497,"A3Vn",0.135,"Ser",19.84266498484643,1
857,48300,"",5.07,0.42,nan,9.875121,-8.10503,"A2V",0.038,"Sex",59.1561634175474,1
1726,98604,"",5.09,1.632,nan,20.08597,19.991071,"K2III",1.058,"Sge",19.37313924581955,1
1616,92793,"",3.52,-1.726,nan,18.962167,-21.106654,"G8/K0II/III",1.151,"Sgr",426.97259404803344,1
442,26386,"",2.97,-2.704,nan,5.627413,21.142549,"B4IIIp",-0.148,"Tau",1050.9934271862176,1
1633,93520,"",5.17,1.401,nan,19.10554,-52.34091,"F7V",0.532,"Tel",23.96624529408638,1
1394,80442,"",4.9,4.483,nan,16.474422,-70.084401,"F9V",0.555,"TrA",1.4021678337057588,1
113,8777,"",3.42,1.979,nan,1.884696,29.578829,"F6IV",0.488,"Tri",14.073431383183483,1
32,2479,"",4.53,0.965,nan,0.525946,-62.965561,"A2V",0.147,"Tuc",35.80964371026361,1
924,52318,"",5.18,2.334,nan,10.725822,46.203877,"F5III",0.324,"UMa",10.148456628180952,1
157,11734,"Polaris",1.97,-3.643,nan,2.52975,89.264109,"F7:Ib-IIv SB",0.636,"UMi",2495.743794831569,1
720,40922,"",4.79,-3.816,nan,8.375471,-48.490381,"B1V",-0.146,"Vel",2926.846862378789,1
1092,62890,"",3.39,-0.53,nan,12.926725,3.39747,"M3III",1.571,"Vir",141.90575216890926,1
777,44254,"",4,1.084,nan,9.040777,-66.396076,"Am",0.145,"Vol",32.09223768048434,1
1770,101540,"",5.06,-0.964,nan,20.642198,24.115958,"B5IV",-0.133,"Vul",211.64109507708656,1
